degree,6,5::1,4::2,4::1::1,3::3,3::2::1,3::1::1::1,2::2::2,2::2::1::1,2::1::1::1::1,1::1::1::1::1::1
0,1,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,1,0,0,0,0,0,0
2,2,2,3,0,3,1,0,0,0,0,0
3,2,2,4,0,4,2,0,0,0,0,0
4,2,2,3,0,3,1,0,0,0,0,0
5,2,1,1,0,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,6,"[0,0,0,0,0,0]",0,"[1,1,1,1,1,1]","(1,2,3,4,5)","[q,q,q,q,q,q]","(2,3,4,5,6)","((1,2,2,2,2,2,1))",,,
,"5,1","[0,1,1,1,1,1]","(1,2,3,4)","[0,q,q,q,q,q]","(2,3,4,5)","((0,1,2,2,2,1,0))",,,,,
,"4,2","[0,0,1,1,1,1]","(1,2,3)","[0,0,q,q,q,q]","(2,3,4)","[1,1,1,1,2,2]","(2,3,4)","[q,q,q,q,2,2]","(3,4,5)","((0,1,3,4,3,1,0))",
,"3,3","[0,0,0,1,1,1]","(1,2)","[0,0,0,q,q,q]","(2,3)","[1,1,1,2,2,2]","(2,3,3,4)","[q,q,q,2,2,2]","(3,4,4,5)","((0,1,3,4,3,1,0))",
,"3,2,1","[0,1,1,1,2,2]","(2,3)","[0,q,q,q,2,2]","(3,4)","(0,0,1,2,1,0,0)",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,6,"[0,0,0,0,0,0]",0,"[q,q,q,q,q,q]","(1,2,3,4,5,6)","[1,1,1,1,1,1]","(1,2,3,4,5)","((1,2,2,2,2,2,1))",,,
,"5,1","[0,1,1,1,1,1]","(1,2,3,4)","[q,1,1,1,1,1]","(2,3,4,5)","((0,1,2,2,2,1,0))",,,,,
,"4,2","[0,0,1,1,1,1]","(1,2,3)","[q,q,1,1,1,1]","(2,3,4), (3,4,5)","[1,1,1,1,2,2]","(2,3,4)",,,"((0,1,3,4,3,1,0))",
,"3,3","[0,0,0,1,1,1]","(1,2)","[q,q,q,1,1,1]","(2,3), (3,4), (4,5)","[1,1,1,2,2,2]","(2,3,3,4)",,,"((0,1,3,4,3,1,0))",
,"3,2,1","[0,1,1,1,2,2]","(2,3)","[q,1,1,1,2,2]","(3,4)","(0,0,1,2,1,0,0)",,,,,